Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2019-01-01,1,Ciutat Vella,1,el Raval,1,14250.55
2019-01-01,1,Ciutat Vella,1,el Raval,2,11281.67
2019-01-01,1,Ciutat Vella,1,el Raval,3,11368.79
2019-01-01,1,Ciutat Vella,1,el Raval,4,14076.12
2019-01-01,1,Ciutat Vella,1,el Raval,5,11862.42
2019-01-01,1,Ciutat Vella,1,el Raval,6,13905.5
2019-01-01,1,Ciutat Vella,1,el Raval,7,12217.11
2019-01-01,1,Ciutat Vella,1,el Raval,8,9925.41
2019-01-01,1,Ciutat Vella,1,el Raval,9,12524.33
2019-01-01,1,Ciutat Vella,1,el Raval,10,10334.21
2019-01-01,1,Ciutat Vella,1,el Raval,11,10259.99
2019-01-01,1,Ciutat Vella,1,el Raval,12,13094.83
2019-01-01,1,Ciutat Vella,1,el Raval,13,14001.75
2019-01-01,1,Ciutat Vella,1,el Raval,14,12304.69
2019-01-01,1,Ciutat Vella,1,el Raval,15,12856.51
2019-01-01,1,Ciutat Vella,1,el Raval,16,12919.41
2019-01-01,1,Ciutat Vella,1,el Raval,17,11913.79
2019-01-01,1,Ciutat Vella,1,el Raval,18,12318.21
2019-01-01,1,Ciutat Vella,1,el Raval,19,12617.39
2019-01-01,1,Ciutat Vella,1,el Raval,20,19828.26
2019-01-01,1,Ciutat Vella,1,el Raval,21,18131.33
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,22,24074.52
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,23,19428.36
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,17926.12
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,18396.03
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,16656.66
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,16905.93
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,29,14657.93
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,30,14526.4
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,14966.91
2019-01-01,1,Ciutat Vella,3,la Barceloneta,32,19302.29
2019-01-01,1,Ciutat Vella,3,la Barceloneta,33,15793.17
2019-01-01,1,Ciutat Vella,3,la Barceloneta,34,15782.23
2019-01-01,1,Ciutat Vella,3,la Barceloneta,35,15343.55
2019-01-01,1,Ciutat Vella,3,la Barceloneta,36,16864.78
2019-01-01,1,Ciutat Vella,3,la Barceloneta,37,16219.98
2019-01-01,1,Ciutat Vella,3,la Barceloneta,38,15366.87
2019-01-01,1,Ciutat Vella,3,la Barceloneta,39,16089.22
2019-01-01,1,Ciutat Vella,3,la Barceloneta,40,17573.1
2019-01-01,1,Ciutat Vella,3,la Barceloneta,41,14984.41
2019-01-01,1,Ciutat Vella,3,la Barceloneta,42,16731.48
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,23284.34
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,23702.61
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,18300.58
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,16675.97
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,16676.65
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,12760.21
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,18484.61
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,16854.31
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,14564.13
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,24192.44
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,15819.27
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,17935.01
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,21203.76
2019-01-01,2,Eixample,5,el Fort Pienc,1,23603.31
2019-01-01,2,Eixample,5,el Fort Pienc,2,23310.11
2019-01-01,2,Eixample,5,el Fort Pienc,3,24153.59
2019-01-01,2,Eixample,5,el Fort Pienc,4,19701.92
2019-01-01,2,Eixample,5,el Fort Pienc,5,25055.88
2019-01-01,2,Eixample,5,el Fort Pienc,6,26446.06
2019-01-01,2,Eixample,5,el Fort Pienc,7,26647.67
2019-01-01,2,Eixample,5,el Fort Pienc,8,24524.55
2019-01-01,2,Eixample,5,el Fort Pienc,9,23926.06
2019-01-01,2,Eixample,5,el Fort Pienc,10,21590.27
2019-01-01,2,Eixample,5,el Fort Pienc,11,23868.72
2019-01-01,2,Eixample,5,el Fort Pienc,12,19008.88
2019-01-01,2,Eixample,5,el Fort Pienc,13,20492.26
2019-01-01,2,Eixample,5,el Fort Pienc,14,19350.63
2019-01-01,2,Eixample,5,el Fort Pienc,15,19801.77
2019-01-01,2,Eixample,5,el Fort Pienc,16,24551.69
2019-01-01,2,Eixample,5,el Fort Pienc,17,25526.18
2019-01-01,2,Eixample,5,el Fort Pienc,18,25884.09
2019-01-01,2,Eixample,5,el Fort Pienc,19,23001.16
2019-01-01,2,Eixample,5,el Fort Pienc,20,20705.11
2019-01-01,2,Eixample,6,la Sagrada Família,21,22770.65
2019-01-01,2,Eixample,6,la Sagrada Família,22,21883.96
2019-01-01,2,Eixample,6,la Sagrada Família,23,22896.74
2019-01-01,2,Eixample,6,la Sagrada Família,24,20930.81
2019-01-01,2,Eixample,6,la Sagrada Família,25,20998.96
2019-01-01,2,Eixample,6,la Sagrada Família,26,22638.93
2019-01-01,2,Eixample,6,la Sagrada Família,27,23021.65
2019-01-01,2,Eixample,6,la Sagrada Família,28,22618.84
2019-01-01,2,Eixample,6,la Sagrada Família,29,21186.4
2019-01-01,2,Eixample,6,la Sagrada Família,30,17523.02
2019-01-01,2,Eixample,6,la Sagrada Família,31,24369.81
2019-01-01,2,Eixample,6,la Sagrada Família,32,23913.46
2019-01-01,2,Eixample,6,la Sagrada Família,33,22815.38
2019-01-01,2,Eixample,6,la Sagrada Família,34,19894.46
2019-01-01,2,Eixample,6,la Sagrada Família,35,25432.19
2019-01-01,2,Eixample,6,la Sagrada Família,36,24113.28
2019-01-01,2,Eixample,6,la Sagrada Família,37,25580.16
2019-01-01,2,Eixample,6,la Sagrada Família,38,25431.75
2019-01-01,2,Eixample,6,la Sagrada Família,39,22526.4
2019-01-01,2,Eixample,6,la Sagrada Família,40,19928.74
2019-01-01,2,Eixample,6,la Sagrada Família,41,22208.93
2019-01-01,2,Eixample,6,la Sagrada Família,42,26421.6
2019-01-01,2,Eixample,6,la Sagrada Família,43,23854.82
2019-01-01,2,Eixample,6,la Sagrada Família,44,20597.36
2019-01-01,2,Eixample,6,la Sagrada Família,45,25018.94
2019-01-01,2,Eixample,6,la Sagrada Família,46,20503.07
2019-01-01,2,Eixample,6,la Sagrada Família,47,21987.74
2019-01-01,2,Eixample,6,la Sagrada Família,48,21422.41
2019-01-01,2,Eixample,6,la Sagrada Família,49,21033.06
2019-01-01,2,Eixample,6,la Sagrada Família,50,22076.05
2019-01-01,2,Eixample,6,la Sagrada Família,51,20220.44
2019-01-01,2,Eixample,6,la Sagrada Família,52,22637.39
2019-01-01,2,Eixample,6,la Sagrada Família,53,25107.2
2019-01-01,2,Eixample,6,la Sagrada Família,54,23965.03
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,55,25074.85
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,56,25713.96
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,57,31541.28
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,58,27675.18
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,59,29918.69
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,60,25570.17
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,61,25086.99
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,62,29620.26
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,63,37706.1
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,64,31682.54
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,65,27855.03
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,66,26379.91
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,67,22882.58
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,68,23908.99
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,69,27579.96
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,70,31561.95
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,71,30597.25
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,72,35101.15
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,73,32243.73
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,74,28503.9
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,75,28961.33
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,76,34172.32
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,77,28856.26
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,78,40973.72
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,79,36393.26
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,80,34906.4
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,81,37853.04
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,82,34336.59
2019-01-01,2,Eixample,7,la Dreta de l'Eixample,83,40608.15
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,28598.31
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,28950.26
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,31547.08
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,28773.74
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,30287.2
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,28275.11
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,26021.51
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,26953.23
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,26339.18
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,27624.03
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,26758.52
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,25799.79
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,25073.66
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,23991.45
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,25780.32
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,27478.64
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,26026.52
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,24302.82
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,32106.85
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,23703.87
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,28367.92
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,23657.21
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,29422.1
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,29413.7
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,32818.13
2019-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,33603.17
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,110,25029.14
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,111,26909.15
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,112,32556.2
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,113,30951.01
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,114,25138.05
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,115,22790.07
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,116,29794.23
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,117,24736.75
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,118,28471.18
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,119,26289.11
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,120,24706.97
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,121,25444.98
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,122,27761.39
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,123,24760.22
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,124,26999.49
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,125,25483.56
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,126,26655.78
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,127,24490.14
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,128,23185.57
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,129,24704.49
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,130,36018.85
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,131,23573.94
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,132,25497.11
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,133,25203.03
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,134,22750.36
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,135,21719.98
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,136,24569.36
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,137,21529.0
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,138,26321.76
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,139,22600.76
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,140,24634.8
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,141,22596.45
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,142,20684.92
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,143,26297.94
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,144,27770.09
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,145,23910.16
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,146,24287.01
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,147,23967.9
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,148,25463.82
2019-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,149,19377.28
2019-01-01,2,Eixample,10,Sant Antoni,150,21349.15
2019-01-01,2,Eixample,10,Sant Antoni,151,22908.76
2019-01-01,2,Eixample,10,Sant Antoni,152,25843.37
2019-01-01,2,Eixample,10,Sant Antoni,153,25198.72
2019-01-01,2,Eixample,10,Sant Antoni,154,19338.29
2019-01-01,2,Eixample,10,Sant Antoni,155,20834.02
2019-01-01,2,Eixample,10,Sant Antoni,156,23417.64
2019-01-01,2,Eixample,10,Sant Antoni,157,21239.53
2019-01-01,2,Eixample,10,Sant Antoni,158,22318.83
2019-01-01,2,Eixample,10,Sant Antoni,159,23353.41
