Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2021-01-01,1,Ciutat Vella,1,el Raval,1,1001,1311
2021-01-01,1,Ciutat Vella,1,el Raval,1,1002,1489
2021-01-01,1,Ciutat Vella,1,el Raval,2,1003,3661
2021-01-01,1,Ciutat Vella,1,el Raval,2,1004,2972
2021-01-01,1,Ciutat Vella,1,el Raval,3,1005,2448
2021-01-01,1,Ciutat Vella,1,el Raval,3,1006,1631
2021-01-01,1,Ciutat Vella,1,el Raval,3,1007,2015
2021-01-01,1,Ciutat Vella,1,el Raval,4,1008,3397
2021-01-01,1,Ciutat Vella,1,el Raval,4,1009,2244
2021-01-01,1,Ciutat Vella,1,el Raval,4,1010,2501
2021-01-01,1,Ciutat Vella,1,el Raval,5,1011,3340
2021-01-01,1,Ciutat Vella,1,el Raval,5,1012,1946
2021-01-01,1,Ciutat Vella,1,el Raval,5,1013,1471
2021-01-01,1,Ciutat Vella,1,el Raval,6,1014,2154
2021-01-01,1,Ciutat Vella,1,el Raval,6,1015,2355
2021-01-01,1,Ciutat Vella,1,el Raval,6,1016,2159
2021-01-01,1,Ciutat Vella,1,el Raval,6,1017,2594
2021-01-01,1,Ciutat Vella,1,el Raval,7,1018,1568
2021-01-01,1,Ciutat Vella,1,el Raval,7,1019,3005
2021-01-01,1,Ciutat Vella,1,el Raval,7,1020,2237
2021-01-01,1,Ciutat Vella,1,el Raval,8,1021,2190
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1570
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2098
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1387
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,8690
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1564
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1959
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1481
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2495
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1606
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1862
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1131
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,962
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1255
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1194
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1381
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1537
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1375
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1089
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1577
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1762
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1629
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1425
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,2012
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1792
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1781
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2139
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1520
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1544
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1863
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2858
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1862
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1268
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1316
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,1279
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,3556
2021-01-01,2,Eixample,5,el Fort Pienc,20,2003,1145
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,1548
2021-01-01,2,Eixample,5,el Fort Pienc,20,2005,2073
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,1675
2021-01-01,2,Eixample,5,el Fort Pienc,20,2007,1249
2021-01-01,2,Eixample,5,el Fort Pienc,20,2008,1918
2021-01-01,2,Eixample,5,el Fort Pienc,20,2009,1822
2021-01-01,2,Eixample,5,el Fort Pienc,21,2010,1236
2021-01-01,2,Eixample,5,el Fort Pienc,21,2011,1119
2021-01-01,2,Eixample,5,el Fort Pienc,21,2012,1563
2021-01-01,2,Eixample,5,el Fort Pienc,21,2013,1182
2021-01-01,2,Eixample,5,el Fort Pienc,22,2014,1388
2021-01-01,2,Eixample,5,el Fort Pienc,22,2015,1566
2021-01-01,2,Eixample,5,el Fort Pienc,22,2016,1863
2021-01-01,2,Eixample,5,el Fort Pienc,22,2017,1942
2021-01-01,2,Eixample,5,el Fort Pienc,22,2018,1825
2021-01-01,2,Eixample,5,el Fort Pienc,22,2019,1992
2021-01-01,2,Eixample,5,el Fort Pienc,22,2020,1504
2021-01-01,2,Eixample,6,la Sagrada Família,23,2021,1507
2021-01-01,2,Eixample,6,la Sagrada Família,23,2022,1344
2021-01-01,2,Eixample,6,la Sagrada Família,23,2023,1044
2021-01-01,2,Eixample,6,la Sagrada Família,23,2024,1160
2021-01-01,2,Eixample,6,la Sagrada Família,24,2025,1164
2021-01-01,2,Eixample,6,la Sagrada Família,24,2026,2179
2021-01-01,2,Eixample,6,la Sagrada Família,24,2027,2080
